prompt,seed,step_wall_ms,step_gpu_ms,render_ms,sd_guidance_ms,backprop_ms,densify_ms,px_per_s,memory_allocated_mb,max_memory_allocated_mb,total_components_ms
bulldozer,123,620.7934683603742,621.0235940158957,37.16057084851188,233.6914169574433,146.28387180774814,203.65760874667086,925337.4680969953,23220.13725537593,37395.81164913366,620.7934683603742
bulldozer,42,720.5892345213359,720.807846220413,35.151927072628595,297.46382290700285,145.88095675600638,242.09252778569808,932102.6314694841,23177.434120706992,37302.07082011912,720.5892345213359
bulldozer,456,659.9287933596216,660.137843368077,35.94791143210512,232.59753578038203,146.27475203890907,245.1085941082254,928486.5852004834,23174.357407371597,37300.43425607209,659.9287933596216
bulldozer,789,713.9231317381531,714.1569337750425,36.814881783753336,235.60999010200842,202.1753028136595,239.32295703873186,921582.9508508256,23182.60684657333,37313.00817025062,713.9231317381531
cactus,123,624.2041176341769,624.4143574025371,39.40212765321283,233.82174437127932,147.39686514868743,203.58338046099732,933729.1191175288,23145.41914836015,37151.00188060798,624.2041176341769
cactus,42,682.4999474228756,682.7191316208036,40.082425570650265,233.79742540419102,145.06493578434433,263.55516066369,929914.0374268006,23153.992835318688,37176.74370068843,682.4999474228756
cactus,456,672.1623138533813,672.4115664038328,40.3475545411284,282.87160525209094,146.72752134594145,202.2156327142205,936516.7115940799,23150.360075997833,37157.295821086016,672.1623138533813
cactus,789,644.2949134386191,644.537633008296,40.89411508089098,236.01859213212634,165.64405429647258,201.73815192912917,912733.6793357218,23127.708597617573,37108.35773611541,644.294913438619
hamburger,123,589.7407808507064,590.006223773012,26.59580931251887,232.54629179355825,145.970983001966,184.6276967426633,999842.9148775885,23072.542785040223,37037.25830561572,589.7407808507064
hamburger,42,589.4923625181955,589.7786333442915,26.35228471590741,234.4092921593623,145.65919857877907,183.0715870641467,1004698.5895760022,23060.727510055694,37006.84409808168,589.4923625181955
hamburger,456,650.8606713551032,651.1391553217821,26.62023969252806,232.50346224164903,153.74932946213107,237.98763995879506,973798.7261240599,23074.75945621906,37046.83597134127,650.8606713551032
hamburger,789,702.4488402207816,702.6390797832224,27.529380224313183,292.0589045768991,145.77803614613885,237.0825192734304,1006797.4429380092,23047.7052134901,36962.20111386139,702.4488402207816
icecream,123,686.7543936909942,687.0511846259088,33.74225766591654,304.11809871876886,163.7619840912521,185.13205321505666,976725.6736879421,23054.041692450493,36966.941841352105,686.7543936909942
icecream,42,655.6426712523887,655.8597351678527,34.13984910723301,287.6942404638054,145.02472489943156,188.78385678191881,982464.0584243473,23092.58487391708,37055.81249516553,655.6426712523887
icecream,456,668.9290747433753,669.188801680461,31.29343029185392,235.3584044474629,146.43216863883163,255.84507136522691,971044.5764183588,23023.0743541151,36903.913405012376,668.9290747433754
icecream,789,625.3845534877538,625.6194636278814,33.0833808408294,232.442351952564,145.58108506890215,214.27773562545823,992750.3231117312,23040.211396774444,36932.39135500464,625.3845534877538
sundae,123,682.6884398273755,682.9686947057743,54.46060595222482,238.86305285101332,172.04731011228395,217.31747091185338,981112.3123653075,23031.34872466739,36918.655549002164,682.6884398273755
sundae,42,681.5333341036251,681.7819528107595,29.92902597467793,232.9043341007563,145.75865628234672,272.941317745844,1001112.3871866339,23052.58716062036,36955.8826771349,681.533334103625
sundae,456,588.7006302456381,588.9822771431196,28.80512078357215,234.0575590508409,146.9119481032364,178.92600230798863,1014872.4927473941,23008.06675916615,36856.97910543007,588.7006302456381
sundae,789,585.1673137415016,585.4178222051942,29.176322614202405,232.65220479357362,143.87571002531908,179.46307630840653,1018547.2255154777,23007.177893912438,36850.70474938119,585.1673137415016
tulip,123,632.2116601732698,632.4410784126509,26.191598265477925,238.3581856081244,146.79104786384667,220.8708284358208,1027658.8561850748,22929.916030128403,36704.72921178837,632.2116601732698
tulip,42,582.4901979637913,582.7343620073677,27.446916810983772,231.1357923248543,145.1070042751213,178.80048455283193,1025748.4995385081,22944.954019376546,36739.26283551207,582.4901979637913
tulip,456,624.9567082585158,625.2009298494547,28.806322733733325,231.18592021378254,144.64372745945607,220.3207378515439,1026968.4257374882,22912.558487391707,36655.70553256498,624.9567082585158
tulip,789,618.0883458686421,618.3425785480159,27.295346528586776,231.96066118832124,144.98588470465475,213.8464534470793,1019401.0010242516,22906.489707418008,36648.14515973082,618.088345868642
