prompt,seed,inter_particle_diversity_mean,cross_view_consistency_mean,fidelity_mean
bulldozer,123,0.1844593584537506,0.8229364156723022,0.4038337469100952
bulldozer,42,0.1956215500831604,0.8099290132522583,0.3984302580356598
bulldozer,456,0.1905082613229751,0.8087973594665527,0.3976969718933105
bulldozer,789,0.1857809871435165,0.8165544271469116,0.4025217890739441
cactus,123,0.1176745519042015,0.8907500505447388,0.3762690722942352
cactus,42,0.108232595026493,0.898713231086731,0.3800890445709228
cactus,456,0.1005411520600318,0.9001470804214478,0.3788986206054687
cactus,789,0.1107656732201576,0.8886759281158447,0.3726117610931396
hamburger,123,0.1001033633947372,0.90428364276886,0.4095672369003296
hamburger,42,0.0915386453270912,0.9024262428283693,0.4159479737281799
hamburger,456,0.0940768718719482,0.9026302099227904,0.4149795770645141
hamburger,789,0.0912016257643699,0.9054775238037108,0.415032684803009
icecream,123,0.1481977105140686,0.8162252902984619,0.4185869097709656
icecream,42,0.1331411600112915,0.8149821758270264,0.4198582172393799
icecream,456,0.1687749922275543,0.805474042892456,0.4199777543544769
icecream,789,0.1231176108121872,0.8091349601745605,0.4190725684165954
sundae,123,0.1332896053791046,0.8204838633537292,0.3791672587394714
sundae,42,0.1631509810686111,0.8358942866325378,0.3827199935913086
sundae,456,0.1494868397712707,0.816203236579895,0.3778864741325378
sundae,789,0.1570424437522888,0.8187217116355896,0.3780162930488586
tulip,123,0.1038211211562156,0.8869423270225525,0.3935050368309021
tulip,42,0.0984327420592308,0.8923721313476562,0.3949330449104309
tulip,456,0.1048519387841224,0.8954495191574097,0.3914315104484558
tulip,789,0.1186576560139656,0.8870974183082581,0.3927081525325775
