# RAW EXPERIMENTAL DATA - METHODOLOGY
# This file contains raw experimental data consolidated from individual runs
# 
# Data Details:
# - Experiment: exp0_baseline
# - Total runs: 16
# - Data source: Individual experiment runs with metrics calculated per run
# - Metrics included: Fidelity, diversity, cross-consistency
# - Statistics: Mean and standard deviation calculated per run
# 
# Each row represents one experimental run with its calculated metrics
# Raw data before any averaging or statistical aggregation
#
# Generated by: consolidate_experiments.py
# Date: 2025-09-18 16:50:40
#
experiment,run_id,last_step,n_samples,prompt,seed,repulsion_type,fidelity_mean,fidelity_std,diversity_mean,diversity_std,cross_consistency_mean,cross_consistency_std,cfg_H,cfg_W,cfg_adaptive_lambda,cfg_anneal_timestep,cfg_batch_size,cfg_best_step,cfg_cosine_beta,cfg_cosine_eps_shift,cfg_densification_interval,cfg_densify_grad_threshold,cfg_density_end_iter,cfg_density_start_iter,cfg_density_thresh,cfg_efficiency_interval,cfg_elevation,cfg_enable_lpips,cfg_eval_H,cfg_eval_W,cfg_eval_radius,cfg_feature_extractor_model_name,cfg_feature_layer,cfg_feature_lr,cfg_force_cuda_rast,cfg_force_same_noise,cfg_force_same_t,cfg_fovy,cfg_geom_lr,cfg_gui,cfg_guidance_scale,cfg_horizontal,cfg_imagedream,cfg_input,cfg_invert_bg_prob,cfg_iters,cfg_iters_refine,cfg_kernel_type,cfg_lambda_repulsion,cfg_lambda_sd,cfg_lambda_zero123,cfg_load,cfg_losses_interval,cfg_max_ver,cfg_mesh,cfg_mesh_format,cfg_metrics,cfg_min_ver,cfg_multi_view_type,cfg_mvdream,cfg_negative_prompt,cfg_num_particles,cfg_num_pts,cfg_num_views,cfg_opacity_lr,cfg_opacity_reset_interval,cfg_outdir,cfg_percent_dense,cfg_position_lr_delay_mult,cfg_position_lr_final,cfg_position_lr_init,cfg_position_lr_max_steps,cfg_prompt,cfg_quantitative_metrics_interval,cfg_radius,cfg_rbf_beta,cfg_ref_size,cfg_rep_ratio_target,cfg_repulsion_type,cfg_rotation_lr,cfg_save_features,cfg_save_features_interval,cfg_save_iid,cfg_save_model,cfg_save_path,cfg_save_rendered_images,cfg_save_rendered_images_interval,cfg_scaling_lr,cfg_schedule_iters,cfg_seed,cfg_sh_degree,cfg_stable_zero123,cfg_texture_lr,cfg_train_geo,cfg_video_snapshot,cfg_visualize,cfg_visualize_fixed_viewpoint,cfg_visualize_fixed_viewpoint_interval,cfg_visualize_graph,cfg_visualize_graph_interval,cfg_visualize_multi_viewpoints,cfg_visualize_multi_viewpoints_interval,cfg_warmup_rgb_loss
exp0_baseline,WO__BULL__S123,1000,1,a bulldozer made out of toy bricks,123,WO,0.4003433883190155,0.0095281787216663,0.1913806349039077,0.0098718358203768,0.8119196891784668,0.011226212605834,800,800,False,True,1,-1,1.0,1e-3,50,0.01,3000,0,1,10,0,False,512,512,4.5,facebook/dinov2-base,11,0.01,False,True,True,49.1,0.0001,False,50,0,False,,0.5,1000,50,none,1000,1,0,,10,30,,obj,True,-30,average_views,False,,8,1000,8,0.01,700,exp/exp0_baseline/WO__BULL__S42,0.01,0.02,2e-05,0.001,300,a bulldozer made out of toy bricks,50,2.5,1.0,256,40.0,wo,0.005,True,250,False,False,???,False,100,0.005,1500,42,0,False,0.2,False,False,True,True,100,False,100,False,500,True
exp0_baseline,WO__BULL__S42,1000,1,a bulldozer made out of toy bricks,42,WO,0.398177295923233,0.0069914408959448,0.1928245723247528,0.0157260354608297,0.8176367282867432,0.0078304940834641,800,800,False,True,1,-1,1.0,1e-3,50,0.01,3000,0,1,10,0,False,512,512,4.5,facebook/dinov2-base,11,0.01,False,True,True,49.1,0.0001,False,50,0,False,,0.5,1000,50,none,1000,1,0,,10,30,,obj,True,-30,average_views,False,,8,1000,8,0.01,700,exp/exp0_baseline/WO__BULL__S42,0.01,0.02,2e-05,0.001,300,a bulldozer made out of toy bricks,50,2.5,1.0,256,40.0,wo,0.005,True,250,False,False,???,False,100,0.005,1500,42,0,False,0.2,False,False,True,True,100,False,100,False,500,True
exp0_baseline,WO__BULL__S456,1000,1,a bulldozer made out of toy bricks,456,WO,0.4015235900878906,0.009077189490199,0.1861426085233688,0.0103413444012403,0.815560519695282,0.0128263626247644,800,800,False,True,1,-1,1.0,1e-3,50,0.01,3000,0,1,10,0,False,512,512,4.5,facebook/dinov2-base,11,0.01,False,True,True,49.1,0.0001,False,50,0,False,,0.5,1000,50,none,1000,1,0,,10,30,,obj,True,-30,average_views,False,,8,1000,8,0.01,700,exp/exp0_baseline/WO__BULL__S42,0.01,0.02,2e-05,0.001,300,a bulldozer made out of toy bricks,50,2.5,1.0,256,40.0,wo,0.005,True,250,False,False,???,False,100,0.005,1500,42,0,False,0.2,False,False,True,True,100,False,100,False,500,True
exp0_baseline,WO__BULL__S789,1000,1,a bulldozer made out of toy bricks,789,WO,0.4052546322345733,0.0086150849238038,0.1879471242427826,0.0160436071455478,0.818364143371582,0.0134643670171499,800,800,False,True,1,-1,1.0,1e-3,50,0.01,3000,0,1,10,0,False,512,512,4.5,facebook/dinov2-base,11,0.01,False,True,True,49.1,0.0001,False,50,0,False,,0.5,1000,50,none,1000,1,0,,10,30,,obj,True,-30,average_views,False,,8,1000,8,0.01,700,exp/exp0_baseline/WO__BULL__S42,0.01,0.02,2e-05,0.001,300,a bulldozer made out of toy bricks,50,2.5,1.0,256,40.0,wo,0.005,True,250,False,False,???,False,100,0.005,1500,42,0,False,0.2,False,False,True,True,100,False,100,False,500,True
exp0_baseline,WO__CACT__S123,1000,1,a small saguaro cactus planted in a clay pot,123,WO,0.3755319714546203,0.0021125711500644,0.11581352353096,0.007548049557954,0.8884422779083252,0.0077719846740365,800,800,False,True,1,-1,1.0,1e-3,50,0.01,3000,0,1,10,0,False,512,512,4.5,facebook/dinov2-base,11,0.01,False,True,True,49.1,0.0001,False,50,0,False,,0.5,1000,50,none,1000,1,0,,10,30,,obj,True,-30,average_views,False,,8,1000,8,0.01,700,exp/exp0_baseline/WO__BULL__S42,0.01,0.02,2e-05,0.001,300,a bulldozer made out of toy bricks,50,2.5,1.0,256,40.0,wo,0.005,True,250,False,False,???,False,100,0.005,1500,42,0,False,0.2,False,False,True,True,100,False,100,False,500,True
exp0_baseline,WO__CACT__S42,1000,1,a small saguaro cactus planted in a clay pot,42,WO,0.3838011920452118,0.0053786057978868,0.1137054935097694,0.009536413475871,0.8952888250350952,0.0084607871249318,800,800,False,True,1,-1,1.0,1e-3,50,0.01,3000,0,1,10,0,False,512,512,4.5,facebook/dinov2-base,11,0.01,False,True,True,49.1,0.0001,False,50,0,False,,0.5,1000,50,none,1000,1,0,,10,30,,obj,True,-30,average_views,False,,8,1000,8,0.01,700,exp/exp0_baseline/WO__BULL__S42,0.01,0.02,2e-05,0.001,300,a bulldozer made out of toy bricks,50,2.5,1.0,256,40.0,wo,0.005,True,250,False,False,???,False,100,0.005,1500,42,0,False,0.2,False,False,True,True,100,False,100,False,500,True
exp0_baseline,WO__CACT__S456,1000,1,a small saguaro cactus planted in a clay pot,456,WO,0.3799066543579101,0.0045011062175035,0.1006177216768264,0.0082150269299745,0.8951361179351807,0.0051995497196912,800,800,False,True,1,-1,1.0,1e-3,50,0.01,3000,0,1,10,0,False,512,512,4.5,facebook/dinov2-base,11,0.01,False,True,True,49.1,0.0001,False,50,0,False,,0.5,1000,50,none,1000,1,0,,10,30,,obj,True,-30,average_views,False,,8,1000,8,0.01,700,exp/exp0_baseline/WO__BULL__S42,0.01,0.02,2e-05,0.001,300,a bulldozer made out of toy bricks,50,2.5,1.0,256,40.0,wo,0.005,True,250,False,False,???,False,100,0.005,1500,42,0,False,0.2,False,False,True,True,100,False,100,False,500,True
exp0_baseline,WO__CACT__S789,1000,1,a small saguaro cactus planted in a clay pot,789,WO,0.3758544325828552,0.003656328190118,0.1124469861388206,0.0048853922635316,0.887376070022583,0.0091664269566535,800,800,False,True,1,-1,1.0,1e-3,50,0.01,3000,0,1,10,0,False,512,512,4.5,facebook/dinov2-base,11,0.01,False,True,True,49.1,0.0001,False,50,0,False,,0.5,1000,50,none,1000,1,0,,10,30,,obj,True,-30,average_views,False,,8,1000,8,0.01,700,exp/exp0_baseline/WO__BULL__S42,0.01,0.02,2e-05,0.001,300,a bulldozer made out of toy bricks,50,2.5,1.0,256,40.0,wo,0.005,True,250,False,False,???,False,100,0.005,1500,42,0,False,0.2,False,False,True,True,100,False,100,False,500,True
exp0_baseline,WO__ICE__S123,1000,1,a photo of an ice cream,123,WO,0.418451189994812,0.0031031165271997,0.1465180814266204,0.008618926629424,0.812767505645752,0.0123953586444258,800,800,False,True,1,-1,1.0,1e-3,50,0.01,3000,0,1,10,0,False,512,512,4.5,facebook/dinov2-base,11,0.01,False,True,True,49.1,0.0001,False,50,0,False,,0.5,1000,50,none,1000,1,0,,10,30,,obj,True,-30,average_views,False,,8,1000,8,0.01,700,exp/exp0_baseline/WO__BULL__S42,0.01,0.02,2e-05,0.001,300,a bulldozer made out of toy bricks,50,2.5,1.0,256,40.0,wo,0.005,True,250,False,False,???,False,100,0.005,1500,42,0,False,0.2,False,False,True,True,100,False,100,False,500,True
exp0_baseline,WO__ICE__S42,1000,1,a photo of an ice cream,42,WO,0.418551504611969,0.003273312933743,0.1499882638454437,0.0154938241466879,0.8105093240737915,0.008957945741713,800,800,False,True,1,-1,1.0,1e-3,50,0.01,3000,0,1,10,0,False,512,512,4.5,facebook/dinov2-base,11,0.01,False,True,True,49.1,0.0001,False,50,0,False,,0.5,1000,50,none,1000,1,0,,10,30,,obj,True,-30,average_views,False,,8,1000,8,0.01,700,exp/exp0_baseline/WO__BULL__S42,0.01,0.02,2e-05,0.001,300,a bulldozer made out of toy bricks,50,2.5,1.0,256,40.0,wo,0.005,True,250,False,False,???,False,100,0.005,1500,42,0,False,0.2,False,False,True,True,100,False,100,False,500,True
