# RAW EXPERIMENTAL DATA - METHODOLOGY
# This file contains raw experimental data consolidated from individual runs
# 
# Data Details:
# - Experiment: exp1_repulsion_kernel
# - Total runs: 64
# - Data source: Individual experiment runs with metrics calculated per run
# - Metrics included: Fidelity, diversity, cross-consistency
# - Statistics: Mean and standard deviation calculated per run
# 
# Each row represents one experimental run with its calculated metrics
# Raw data before any averaging or statistical aggregation
#
# Generated by: consolidate_experiments.py
# Date: 2025-09-18 16:50:40
#
experiment,run_id,last_step,n_samples,prompt,seed,method,kernel,fidelity_mean,fidelity_std,diversity_mean,diversity_std,cross_consistency_mean,cross_consistency_std,cfg_H,cfg_W,cfg_adaptive_lambda,cfg_anneal_timestep,cfg_batch_size,cfg_best_step,cfg_cosine_beta,cfg_cosine_eps_shift,cfg_densification_interval,cfg_densify_grad_threshold,cfg_density_end_iter,cfg_density_start_iter,cfg_density_thresh,cfg_efficiency_interval,cfg_elevation,cfg_enable_lpips,cfg_eval_H,cfg_eval_W,cfg_eval_radius,cfg_feature_extractor_model_name,cfg_feature_layer,cfg_feature_lr,cfg_force_cuda_rast,cfg_force_same_noise,cfg_force_same_t,cfg_fovy,cfg_geom_lr,cfg_gui,cfg_guidance_scale,cfg_horizontal,cfg_imagedream,cfg_input,cfg_invert_bg_prob,cfg_iters,cfg_iters_refine,cfg_kernel_type,cfg_lambda_repulsion,cfg_lambda_sd,cfg_lambda_zero123,cfg_load,cfg_losses_interval,cfg_max_ver,cfg_mesh,cfg_mesh_format,cfg_metrics,cfg_min_ver,cfg_multi_view_type,cfg_mvdream,cfg_negative_prompt,cfg_num_particles,cfg_num_pts,cfg_num_views,cfg_opacity_lr,cfg_opacity_reset_interval,cfg_outdir,cfg_percent_dense,cfg_position_lr_delay_mult,cfg_position_lr_final,cfg_position_lr_init,cfg_position_lr_max_steps,cfg_prompt,cfg_quantitative_metrics_interval,cfg_radius,cfg_rbf_beta,cfg_ref_size,cfg_rep_ratio_target,cfg_repulsion_type,cfg_rotation_lr,cfg_save_features,cfg_save_features_interval,cfg_save_iid,cfg_save_model,cfg_save_path,cfg_save_rendered_images,cfg_save_rendered_images_interval,cfg_scaling_lr,cfg_schedule_iters,cfg_seed,cfg_sh_degree,cfg_stable_zero123,cfg_texture_lr,cfg_train_geo,cfg_video_snapshot,cfg_visualize,cfg_visualize_fixed_viewpoint,cfg_visualize_fixed_viewpoint_interval,cfg_visualize_graph,cfg_visualize_graph_interval,cfg_visualize_multi_viewpoints,cfg_visualize_multi_viewpoints_interval,cfg_warmup_rgb_loss
exp1_repulsion_kernel,RLSD__COS__BULL__S123,1000,1,a bulldozer made out of toy bricks,123,RLSD,COS,0.3924566805362701,0.0088636223226785,0.2064157426357269,0.0081340242177248,0.8235548734664917,0.0129100605845451,800,800,False,True,1,-1,0.5,1e-3,50,0.01,3000,0,1,10,0,False,512,512,4.0,facebook/dinov2-base,last,0.01,False,True,True,49.1,0.0001,False,50,0,False,,0.5,1000,50,rbf,1000,1,0,,10,30,,obj,True,-30,average_views,False,,8,1000,8,0.01,700,exp/exp1_repulsion_kernel/RLSD__RBF__TUL__S123,0.01,0.02,2e-05,0.001,300,a photo of a tulip,50,2.5,1.0,256,40.0,rlsd,0.005,True,250,False,False,???,False,100,0.005,1500,123,0,False,0.2,False,False,True,True,100,False,100,False,500,True
exp1_repulsion_kernel,RLSD__COS__BULL__S42,1000,1,a bulldozer made out of toy bricks,42,RLSD,COS,0.3990777730941772,0.0096664661541581,0.2283389866352081,0.0184138473123312,0.811382532119751,0.0116705037653446,800,800,False,True,1,-1,0.5,1e-3,50,0.01,3000,0,1,10,0,False,512,512,4.0,facebook/dinov2-base,last,0.01,False,True,True,49.1,0.0001,False,50,0,False,,0.5,1000,50,rbf,1000,1,0,,10,30,,obj,True,-30,average_views,False,,8,1000,8,0.01,700,exp/exp1_repulsion_kernel/RLSD__RBF__TUL__S123,0.01,0.02,2e-05,0.001,300,a photo of a tulip,50,2.5,1.0,256,40.0,rlsd,0.005,True,250,False,False,???,False,100,0.005,1500,123,0,False,0.2,False,False,True,True,100,False,100,False,500,True
exp1_repulsion_kernel,RLSD__COS__BULL__S456,1000,1,a bulldozer made out of toy bricks,456,RLSD,COS,0.3962885439395904,0.0130357975140213,0.2163375318050384,0.0172672290354967,0.8175503015518188,0.0171619430184364,800,800,False,True,1,-1,0.5,1e-3,50,0.01,3000,0,1,10,0,False,512,512,4.0,facebook/dinov2-base,last,0.01,False,True,True,49.1,0.0001,False,50,0,False,,0.5,1000,50,rbf,1000,1,0,,10,30,,obj,True,-30,average_views,False,,8,1000,8,0.01,700,exp/exp1_repulsion_kernel/RLSD__RBF__TUL__S123,0.01,0.02,2e-05,0.001,300,a photo of a tulip,50,2.5,1.0,256,40.0,rlsd,0.005,True,250,False,False,???,False,100,0.005,1500,123,0,False,0.2,False,False,True,True,100,False,100,False,500,True
exp1_repulsion_kernel,RLSD__COS__BULL__S789,1000,1,a bulldozer made out of toy bricks,789,RLSD,COS,0.393366277217865,0.0192559827119112,0.214879959821701,0.0160404685884714,0.8115853071212769,0.0124382302165031,800,800,False,True,1,-1,0.5,1e-3,50,0.01,3000,0,1,10,0,False,512,512,4.0,facebook/dinov2-base,last,0.01,False,True,True,49.1,0.0001,False,50,0,False,,0.5,1000,50,rbf,1000,1,0,,10,30,,obj,True,-30,average_views,False,,8,1000,8,0.01,700,exp/exp1_repulsion_kernel/RLSD__RBF__TUL__S123,0.01,0.02,2e-05,0.001,300,a photo of a tulip,50,2.5,1.0,256,40.0,rlsd,0.005,True,250,False,False,???,False,100,0.005,1500,123,0,False,0.2,False,False,True,True,100,False,100,False,500,True
exp1_repulsion_kernel,RLSD__COS__CACT__S123,1000,1,a small saguaro cactus planted in a clay pot,123,RLSD,COS,0.3760644793510437,0.0039862673729658,0.1901768147945404,0.0063819726929068,0.8875997066497803,0.0192398112267255,800,800,False,True,1,-1,0.5,1e-3,50,0.01,3000,0,1,10,0,False,512,512,4.0,facebook/dinov2-base,last,0.01,False,True,True,49.1,0.0001,False,50,0,False,,0.5,1000,50,rbf,1000,1,0,,10,30,,obj,True,-30,average_views,False,,8,1000,8,0.01,700,exp/exp1_repulsion_kernel/RLSD__RBF__TUL__S123,0.01,0.02,2e-05,0.001,300,a photo of a tulip,50,2.5,1.0,256,40.0,rlsd,0.005,True,250,False,False,???,False,100,0.005,1500,123,0,False,0.2,False,False,True,True,100,False,100,False,500,True
exp1_repulsion_kernel,RLSD__COS__CACT__S42,1000,1,a small saguaro cactus planted in a clay pot,42,RLSD,COS,0.3737134933471679,0.0062653049826622,0.1809035241603851,0.0083730202168226,0.8906332850456238,0.0167835634201765,800,800,False,True,1,-1,0.5,1e-3,50,0.01,3000,0,1,10,0,False,512,512,4.0,facebook/dinov2-base,last,0.01,False,True,True,49.1,0.0001,False,50,0,False,,0.5,1000,50,rbf,1000,1,0,,10,30,,obj,True,-30,average_views,False,,8,1000,8,0.01,700,exp/exp1_repulsion_kernel/RLSD__RBF__TUL__S123,0.01,0.02,2e-05,0.001,300,a photo of a tulip,50,2.5,1.0,256,40.0,rlsd,0.005,True,250,False,False,???,False,100,0.005,1500,123,0,False,0.2,False,False,True,True,100,False,100,False,500,True
exp1_repulsion_kernel,RLSD__COS__CACT__S456,1000,1,a small saguaro cactus planted in a clay pot,456,RLSD,COS,0.3768537640571594,0.0032485562842339,0.1916669011116027,0.0155046451836824,0.8789201974868774,0.0093682399019598,800,800,False,True,1,-1,0.5,1e-3,50,0.01,3000,0,1,10,0,False,512,512,4.0,facebook/dinov2-base,last,0.01,False,True,True,49.1,0.0001,False,50,0,False,,0.5,1000,50,rbf,1000,1,0,,10,30,,obj,True,-30,average_views,False,,8,1000,8,0.01,700,exp/exp1_repulsion_kernel/RLSD__RBF__TUL__S123,0.01,0.02,2e-05,0.001,300,a photo of a tulip,50,2.5,1.0,256,40.0,rlsd,0.005,True,250,False,False,???,False,100,0.005,1500,123,0,False,0.2,False,False,True,True,100,False,100,False,500,True
exp1_repulsion_kernel,RLSD__COS__CACT__S789,1000,1,a small saguaro cactus planted in a clay pot,789,RLSD,COS,0.3773947358131408,0.0056180292740464,0.2044469118118286,0.0162279568612575,0.8730707168579102,0.0218273103237152,800,800,False,True,1,-1,0.5,1e-3,50,0.01,3000,0,1,10,0,False,512,512,4.0,facebook/dinov2-base,last,0.01,False,True,True,49.1,0.0001,False,50,0,False,,0.5,1000,50,rbf,1000,1,0,,10,30,,obj,True,-30,average_views,False,,8,1000,8,0.01,700,exp/exp1_repulsion_kernel/RLSD__RBF__TUL__S123,0.01,0.02,2e-05,0.001,300,a photo of a tulip,50,2.5,1.0,256,40.0,rlsd,0.005,True,250,False,False,???,False,100,0.005,1500,123,0,False,0.2,False,False,True,True,100,False,100,False,500,True
exp1_repulsion_kernel,RLSD__COS__ICE__S123,1000,1,a photo of an ice cream,123,RLSD,COS,0.4182150661945343,0.0048730340786278,0.2018304318189621,0.0162527561187744,0.8072488307952881,0.0209074988961219,800,800,False,True,1,-1,0.5,1e-3,50,0.01,3000,0,1,10,0,False,512,512,4.0,facebook/dinov2-base,last,0.01,False,True,True,49.1,0.0001,False,50,0,False,,0.5,1000,50,rbf,1000,1,0,,10,30,,obj,True,-30,average_views,False,,8,1000,8,0.01,700,exp/exp1_repulsion_kernel/RLSD__RBF__TUL__S123,0.01,0.02,2e-05,0.001,300,a photo of a tulip,50,2.5,1.0,256,40.0,rlsd,0.005,True,250,False,False,???,False,100,0.005,1500,123,0,False,0.2,False,False,True,True,100,False,100,False,500,True
exp1_repulsion_kernel,RLSD__COS__ICE__S42,1000,1,a photo of an ice cream,42,RLSD,COS,0.4175128936767578,0.004758832976222,0.2102551311254501,0.0105632180348038,0.806776762008667,0.0144321843981742,800,800,False,True,1,-1,0.5,1e-3,50,0.01,3000,0,1,10,0,False,512,512,4.0,facebook/dinov2-base,last,0.01,False,True,True,49.1,0.0001,False,50,0,False,,0.5,1000,50,rbf,1000,1,0,,10,30,,obj,True,-30,average_views,False,,8,1000,8,0.01,700,exp/exp1_repulsion_kernel/RLSD__RBF__TUL__S123,0.01,0.02,2e-05,0.001,300,a photo of a tulip,50,2.5,1.0,256,40.0,rlsd,0.005,True,250,False,False,???,False,100,0.005,1500,123,0,False,0.2,False,False,True,True,100,False,100,False,500,True
