# RAW EXPERIMENTAL DATA - METHODOLOGY
# This file contains raw experimental data consolidated from individual runs
# 
# Data Details:
# - Experiment: exp4_guidance_scale
# - Total runs: 64
# - Data source: Individual experiment runs with metrics calculated per run
# - Metrics included: Fidelity, diversity, cross-consistency
# - Statistics: Mean and standard deviation calculated per run
# 
# Each row represents one experimental run with its calculated metrics
# Raw data before any averaging or statistical aggregation
#
# Generated by: consolidate_experiments.py
# Date: 2025-09-18 16:50:41
#
experiment,run_id,last_step,n_samples,prompt,seed,guidance_scale,fidelity_mean,fidelity_std,diversity_mean,diversity_std,cross_consistency_mean,cross_consistency_std,cfg_H,cfg_W,cfg_adaptive_lambda,cfg_anneal_timestep,cfg_batch_size,cfg_best_step,cfg_cosine_beta,cfg_cosine_eps_shift,cfg_densification_interval,cfg_densify_grad_threshold,cfg_density_end_iter,cfg_density_start_iter,cfg_density_thresh,cfg_efficiency_interval,cfg_elevation,cfg_enable_lpips,cfg_eval_H,cfg_eval_W,cfg_eval_radius,cfg_feature_extractor_model_name,cfg_feature_layer,cfg_feature_lr,cfg_force_cuda_rast,cfg_force_same_noise,cfg_force_same_t,cfg_fovy,cfg_geom_lr,cfg_gui,cfg_guidance_scale,cfg_horizontal,cfg_imagedream,cfg_input,cfg_invert_bg_prob,cfg_iters,cfg_iters_refine,cfg_kernel_type,cfg_lambda_repulsion,cfg_lambda_sd,cfg_lambda_zero123,cfg_load,cfg_losses_interval,cfg_max_ver,cfg_mesh,cfg_mesh_format,cfg_metrics,cfg_min_ver,cfg_multi_view_type,cfg_mvdream,cfg_negative_prompt,cfg_num_particles,cfg_num_pts,cfg_num_views,cfg_opacity_lr,cfg_opacity_reset_interval,cfg_outdir,cfg_percent_dense,cfg_position_lr_delay_mult,cfg_position_lr_final,cfg_position_lr_init,cfg_position_lr_max_steps,cfg_prompt,cfg_quantitative_metrics_interval,cfg_radius,cfg_rbf_beta,cfg_ref_size,cfg_rep_ratio_target,cfg_repulsion_type,cfg_rotation_lr,cfg_save_features,cfg_save_features_interval,cfg_save_iid,cfg_save_model,cfg_save_path,cfg_save_rendered_images,cfg_save_rendered_images_interval,cfg_scaling_lr,cfg_schedule_iters,cfg_seed,cfg_sh_degree,cfg_stable_zero123,cfg_texture_lr,cfg_train_geo,cfg_video_snapshot,cfg_visualize,cfg_visualize_fixed_viewpoint,cfg_visualize_fixed_viewpoint_interval,cfg_visualize_graph,cfg_visualize_graph_interval,cfg_visualize_multi_viewpoints,cfg_visualize_multi_viewpoints_interval,cfg_warmup_rgb_loss
exp4_guidance_scale,BULL__S123__guidance_scale_100,1000,1,a bulldozer made out of toy bricks,123,100,0.386982798576355,0.0119377626106143,0.2321135550737381,0.0182090830057859,0.8167874217033386,0.0126767661422491,800,800,False,True,1,-1,1.0,1e-3,50,0.01,3000,0,1,10,0,False,512,512,4.0,facebook/dinov2-base,last,0.01,False,True,True,49.1,0.0001,False,100,0,False,,0.5,1000,50,rbf,1000,1,0,,10,30,,obj,True,-30,average_views,False,,8,1000,8,0.01,700,exp/exp4_guidance_scale/CACT__S456__guidance_scale_100,0.01,0.02,2e-05,0.001,300,a small saguaro cactus planted in a clay pot,50,2.5,1.0,256,40.0,rlsd,0.005,True,250,False,False,???,False,100,0.005,1500,456,0,False,0.2,False,False,True,True,100,False,100,False,500,True
exp4_guidance_scale,BULL__S123__guidance_scale_30,1000,1,a bulldozer made out of toy bricks,123,30,0.3714968562126159,0.0155651234090328,0.3100534081459045,0.0172148067504167,0.7975966930389404,0.0213937256485223,800,800,False,True,1,-1,1.0,1e-3,50,0.01,3000,0,1,10,0,False,512,512,4.0,facebook/dinov2-base,last,0.01,False,True,True,49.1,0.0001,False,100,0,False,,0.5,1000,50,rbf,1000,1,0,,10,30,,obj,True,-30,average_views,False,,8,1000,8,0.01,700,exp/exp4_guidance_scale/CACT__S456__guidance_scale_100,0.01,0.02,2e-05,0.001,300,a small saguaro cactus planted in a clay pot,50,2.5,1.0,256,40.0,rlsd,0.005,True,250,False,False,???,False,100,0.005,1500,456,0,False,0.2,False,False,True,True,100,False,100,False,500,True
exp4_guidance_scale,BULL__S123__guidance_scale_50,1000,1,a bulldozer made out of toy bricks,123,50,0.3876597881317138,0.0094604594632983,0.2782531678676605,0.0175874233245849,0.7984932661056519,0.0156740974634885,800,800,False,True,1,-1,1.0,1e-3,50,0.01,3000,0,1,10,0,False,512,512,4.0,facebook/dinov2-base,last,0.01,False,True,True,49.1,0.0001,False,100,0,False,,0.5,1000,50,rbf,1000,1,0,,10,30,,obj,True,-30,average_views,False,,8,1000,8,0.01,700,exp/exp4_guidance_scale/CACT__S456__guidance_scale_100,0.01,0.02,2e-05,0.001,300,a small saguaro cactus planted in a clay pot,50,2.5,1.0,256,40.0,rlsd,0.005,True,250,False,False,???,False,100,0.005,1500,456,0,False,0.2,False,False,True,True,100,False,100,False,500,True
exp4_guidance_scale,BULL__S123__guidance_scale_70,1000,1,a bulldozer made out of toy bricks,123,70,0.3826343417167663,0.0186332762241363,0.2508760690689087,0.0101786311715841,0.8215569257736206,0.01037273183465,800,800,False,True,1,-1,1.0,1e-3,50,0.01,3000,0,1,10,0,False,512,512,4.0,facebook/dinov2-base,last,0.01,False,True,True,49.1,0.0001,False,100,0,False,,0.5,1000,50,rbf,1000,1,0,,10,30,,obj,True,-30,average_views,False,,8,1000,8,0.01,700,exp/exp4_guidance_scale/CACT__S456__guidance_scale_100,0.01,0.02,2e-05,0.001,300,a small saguaro cactus planted in a clay pot,50,2.5,1.0,256,40.0,rlsd,0.005,True,250,False,False,???,False,100,0.005,1500,456,0,False,0.2,False,False,True,True,100,False,100,False,500,True
exp4_guidance_scale,BULL__S42__guidance_scale_100,1000,1,a bulldozer made out of toy bricks,42,100,0.3883925378322601,0.0123753128573298,0.2452230751514434,0.0156236207112669,0.810962438583374,0.0249718818813562,800,800,False,True,1,-1,1.0,1e-3,50,0.01,3000,0,1,10,0,False,512,512,4.0,facebook/dinov2-base,last,0.01,False,True,True,49.1,0.0001,False,100,0,False,,0.5,1000,50,rbf,1000,1,0,,10,30,,obj,True,-30,average_views,False,,8,1000,8,0.01,700,exp/exp4_guidance_scale/CACT__S456__guidance_scale_100,0.01,0.02,2e-05,0.001,300,a small saguaro cactus planted in a clay pot,50,2.5,1.0,256,40.0,rlsd,0.005,True,250,False,False,???,False,100,0.005,1500,456,0,False,0.2,False,False,True,True,100,False,100,False,500,True
exp4_guidance_scale,BULL__S42__guidance_scale_30,1000,1,a bulldozer made out of toy bricks,42,30,0.3628187775611877,0.0155778685584664,0.3143253326416015,0.0181583538651466,0.7925515174865723,0.026515981182456,800,800,False,True,1,-1,1.0,1e-3,50,0.01,3000,0,1,10,0,False,512,512,4.0,facebook/dinov2-base,last,0.01,False,True,True,49.1,0.0001,False,100,0,False,,0.5,1000,50,rbf,1000,1,0,,10,30,,obj,True,-30,average_views,False,,8,1000,8,0.01,700,exp/exp4_guidance_scale/CACT__S456__guidance_scale_100,0.01,0.02,2e-05,0.001,300,a small saguaro cactus planted in a clay pot,50,2.5,1.0,256,40.0,rlsd,0.005,True,250,False,False,???,False,100,0.005,1500,456,0,False,0.2,False,False,True,True,100,False,100,False,500,True
exp4_guidance_scale,BULL__S42__guidance_scale_50,1000,1,a bulldozer made out of toy bricks,42,50,0.3851242959499359,0.0187653861939907,0.2618852257728576,0.0149298012256622,0.8139476776123047,0.0162085834890604,800,800,False,True,1,-1,1.0,1e-3,50,0.01,3000,0,1,10,0,False,512,512,4.0,facebook/dinov2-base,last,0.01,False,True,True,49.1,0.0001,False,100,0,False,,0.5,1000,50,rbf,1000,1,0,,10,30,,obj,True,-30,average_views,False,,8,1000,8,0.01,700,exp/exp4_guidance_scale/CACT__S456__guidance_scale_100,0.01,0.02,2e-05,0.001,300,a small saguaro cactus planted in a clay pot,50,2.5,1.0,256,40.0,rlsd,0.005,True,250,False,False,???,False,100,0.005,1500,456,0,False,0.2,False,False,True,True,100,False,100,False,500,True
exp4_guidance_scale,BULL__S42__guidance_scale_70,1000,1,a bulldozer made out of toy bricks,42,70,0.3821326792240143,0.010947729460895,0.2561647891998291,0.0103132687509059,0.8065666556358337,0.0166612546890974,800,800,False,True,1,-1,1.0,1e-3,50,0.01,3000,0,1,10,0,False,512,512,4.0,facebook/dinov2-base,last,0.01,False,True,True,49.1,0.0001,False,100,0,False,,0.5,1000,50,rbf,1000,1,0,,10,30,,obj,True,-30,average_views,False,,8,1000,8,0.01,700,exp/exp4_guidance_scale/CACT__S456__guidance_scale_100,0.01,0.02,2e-05,0.001,300,a small saguaro cactus planted in a clay pot,50,2.5,1.0,256,40.0,rlsd,0.005,True,250,False,False,???,False,100,0.005,1500,456,0,False,0.2,False,False,True,True,100,False,100,False,500,True
exp4_guidance_scale,BULL__S456__guidance_scale_100,1000,1,a bulldozer made out of toy bricks,456,100,0.3777269124984741,0.017274834215641,0.2434539347887039,0.0067369947209954,0.8182981610298157,0.0153545048087835,800,800,False,True,1,-1,1.0,1e-3,50,0.01,3000,0,1,10,0,False,512,512,4.0,facebook/dinov2-base,last,0.01,False,True,True,49.1,0.0001,False,100,0,False,,0.5,1000,50,rbf,1000,1,0,,10,30,,obj,True,-30,average_views,False,,8,1000,8,0.01,700,exp/exp4_guidance_scale/CACT__S456__guidance_scale_100,0.01,0.02,2e-05,0.001,300,a small saguaro cactus planted in a clay pot,50,2.5,1.0,256,40.0,rlsd,0.005,True,250,False,False,???,False,100,0.005,1500,456,0,False,0.2,False,False,True,True,100,False,100,False,500,True
exp4_guidance_scale,BULL__S456__guidance_scale_30,1000,1,a bulldozer made out of toy bricks,456,30,0.3652780950069427,0.0218245349824428,0.3227719664573669,0.0113024218007922,0.7891316413879395,0.0274234693497419,800,800,False,True,1,-1,1.0,1e-3,50,0.01,3000,0,1,10,0,False,512,512,4.0,facebook/dinov2-base,last,0.01,False,True,True,49.1,0.0001,False,100,0,False,,0.5,1000,50,rbf,1000,1,0,,10,30,,obj,True,-30,average_views,False,,8,1000,8,0.01,700,exp/exp4_guidance_scale/CACT__S456__guidance_scale_100,0.01,0.02,2e-05,0.001,300,a small saguaro cactus planted in a clay pot,50,2.5,1.0,256,40.0,rlsd,0.005,True,250,False,False,???,False,100,0.005,1500,456,0,False,0.2,False,False,True,True,100,False,100,False,500,True
