# RAW EXPERIMENTAL DATA - METHODOLOGY
# This file contains raw experimental data consolidated from individual runs
# 
# Data Details:
# - Experiment: exp5_rbf_beta
# - Total runs: 64
# - Data source: Individual experiment runs with metrics calculated per run
# - Metrics included: Fidelity, diversity, cross-consistency
# - Statistics: Mean and standard deviation calculated per run
# 
# Each row represents one experimental run with its calculated metrics
# Raw data before any averaging or statistical aggregation
#
# Generated by: consolidate_experiments.py
# Date: 2025-09-18 16:50:41
#
experiment,run_id,last_step,n_samples,prompt,seed,rbf_beta,fidelity_mean,fidelity_std,diversity_mean,diversity_std,cross_consistency_mean,cross_consistency_std,cfg_H,cfg_W,cfg_adaptive_lambda,cfg_anneal_timestep,cfg_batch_size,cfg_best_step,cfg_cosine_beta,cfg_cosine_eps_shift,cfg_densification_interval,cfg_densify_grad_threshold,cfg_density_end_iter,cfg_density_start_iter,cfg_density_thresh,cfg_efficiency_interval,cfg_elevation,cfg_enable_lpips,cfg_eval_H,cfg_eval_W,cfg_eval_radius,cfg_feature_extractor_model_name,cfg_feature_layer,cfg_feature_lr,cfg_force_cuda_rast,cfg_force_same_noise,cfg_force_same_t,cfg_fovy,cfg_geom_lr,cfg_gui,cfg_guidance_scale,cfg_horizontal,cfg_imagedream,cfg_input,cfg_invert_bg_prob,cfg_iters,cfg_iters_refine,cfg_kernel_type,cfg_lambda_repulsion,cfg_lambda_sd,cfg_lambda_zero123,cfg_load,cfg_losses_interval,cfg_max_ver,cfg_mesh,cfg_mesh_format,cfg_metrics,cfg_min_ver,cfg_multi_view_type,cfg_mvdream,cfg_negative_prompt,cfg_num_particles,cfg_num_pts,cfg_num_views,cfg_opacity_lr,cfg_opacity_reset_interval,cfg_outdir,cfg_percent_dense,cfg_position_lr_delay_mult,cfg_position_lr_final,cfg_position_lr_init,cfg_position_lr_max_steps,cfg_prompt,cfg_quantitative_metrics_interval,cfg_radius,cfg_rbf_beta,cfg_ref_size,cfg_rep_ratio_target,cfg_repulsion_type,cfg_rotation_lr,cfg_save_features,cfg_save_features_interval,cfg_save_iid,cfg_save_model,cfg_save_path,cfg_save_rendered_images,cfg_save_rendered_images_interval,cfg_scaling_lr,cfg_schedule_iters,cfg_seed,cfg_sh_degree,cfg_stable_zero123,cfg_texture_lr,cfg_train_geo,cfg_video_snapshot,cfg_visualize,cfg_visualize_fixed_viewpoint,cfg_visualize_fixed_viewpoint_interval,cfg_visualize_graph,cfg_visualize_graph_interval,cfg_visualize_multi_viewpoints,cfg_visualize_multi_viewpoints_interval,cfg_warmup_rgb_loss
exp5_rbf_beta,BULL__S123__rbf_beta_0.5,1000,1,a bulldozer made out of toy bricks,123,0.5,0.3821260929107666,0.0147095760330557,0.2759461104869842,0.0129711376503109,0.802968442440033,0.0205450654029846,800,800,False,True,1,-1,1.0,1e-3,50,0.01,3000,0,1,10,0,False,512,512,4.5,facebook/dinov2-base,last,0.01,False,True,True,49.1,0.0001,False,50,0,False,,0.5,1000,50,rbf,1000,1,0,,10,30,,obj,True,-30,average_views,False,,8,1000,8,0.01,700,exp/exp5_rbf_beta/BULL__S42__rbf_beta_0.5,0.01,0.02,2e-05,0.001,300,a bulldozer made out of toy bricks,50,2.5,0.5,256,40.0,rlsd,0.005,True,250,False,False,???,False,100,0.005,1500,42,0,False,0.2,False,False,True,True,100,False,100,False,500,True
exp5_rbf_beta,BULL__S123__rbf_beta_1.0,1000,1,a bulldozer made out of toy bricks,123,1.0,0.363184779882431,0.0163352191448211,0.2681045234203338,0.0080275470390915,0.8090956807136536,0.0158121511340141,800,800,False,True,1,-1,1.0,1e-3,50,0.01,3000,0,1,10,0,False,512,512,4.5,facebook/dinov2-base,last,0.01,False,True,True,49.1,0.0001,False,50,0,False,,0.5,1000,50,rbf,1000,1,0,,10,30,,obj,True,-30,average_views,False,,8,1000,8,0.01,700,exp/exp5_rbf_beta/BULL__S42__rbf_beta_0.5,0.01,0.02,2e-05,0.001,300,a bulldozer made out of toy bricks,50,2.5,0.5,256,40.0,rlsd,0.005,True,250,False,False,???,False,100,0.005,1500,42,0,False,0.2,False,False,True,True,100,False,100,False,500,True
exp5_rbf_beta,BULL__S123__rbf_beta_1.5,1000,1,a bulldozer made out of toy bricks,123,1.5,0.371312141418457,0.0230179093778133,0.26833376288414,0.0187463369220495,0.8044328689575195,0.0175539515912532,800,800,False,True,1,-1,1.0,1e-3,50,0.01,3000,0,1,10,0,False,512,512,4.5,facebook/dinov2-base,last,0.01,False,True,True,49.1,0.0001,False,50,0,False,,0.5,1000,50,rbf,1000,1,0,,10,30,,obj,True,-30,average_views,False,,8,1000,8,0.01,700,exp/exp5_rbf_beta/BULL__S42__rbf_beta_0.5,0.01,0.02,2e-05,0.001,300,a bulldozer made out of toy bricks,50,2.5,0.5,256,40.0,rlsd,0.005,True,250,False,False,???,False,100,0.005,1500,42,0,False,0.2,False,False,True,True,100,False,100,False,500,True
exp5_rbf_beta,BULL__S123__rbf_beta_2.0,1000,1,a bulldozer made out of toy bricks,123,2.0,0.3886740803718567,0.0112542593851685,0.2734065651893616,0.0158243551850318,0.7928731441497803,0.0246716365218162,800,800,False,True,1,-1,1.0,1e-3,50,0.01,3000,0,1,10,0,False,512,512,4.5,facebook/dinov2-base,last,0.01,False,True,True,49.1,0.0001,False,50,0,False,,0.5,1000,50,rbf,1000,1,0,,10,30,,obj,True,-30,average_views,False,,8,1000,8,0.01,700,exp/exp5_rbf_beta/BULL__S42__rbf_beta_0.5,0.01,0.02,2e-05,0.001,300,a bulldozer made out of toy bricks,50,2.5,0.5,256,40.0,rlsd,0.005,True,250,False,False,???,False,100,0.005,1500,42,0,False,0.2,False,False,True,True,100,False,100,False,500,True
exp5_rbf_beta,BULL__S42__rbf_beta_0.5,1000,1,a bulldozer made out of toy bricks,42,0.5,0.3858562707901001,0.022031370550394,0.2666293978691101,0.0159890204668045,0.790110170841217,0.0183140374720096,800,800,False,True,1,-1,1.0,1e-3,50,0.01,3000,0,1,10,0,False,512,512,4.5,facebook/dinov2-base,last,0.01,False,True,True,49.1,0.0001,False,50,0,False,,0.5,1000,50,rbf,1000,1,0,,10,30,,obj,True,-30,average_views,False,,8,1000,8,0.01,700,exp/exp5_rbf_beta/BULL__S42__rbf_beta_0.5,0.01,0.02,2e-05,0.001,300,a bulldozer made out of toy bricks,50,2.5,0.5,256,40.0,rlsd,0.005,True,250,False,False,???,False,100,0.005,1500,42,0,False,0.2,False,False,True,True,100,False,100,False,500,True
exp5_rbf_beta,BULL__S42__rbf_beta_1.0,1000,1,a bulldozer made out of toy bricks,42,1.0,0.3757219314575195,0.0174179058521986,0.2689319252967834,0.0113252568989992,0.7995862364768982,0.0303333364427089,800,800,False,True,1,-1,1.0,1e-3,50,0.01,3000,0,1,10,0,False,512,512,4.5,facebook/dinov2-base,last,0.01,False,True,True,49.1,0.0001,False,50,0,False,,0.5,1000,50,rbf,1000,1,0,,10,30,,obj,True,-30,average_views,False,,8,1000,8,0.01,700,exp/exp5_rbf_beta/BULL__S42__rbf_beta_0.5,0.01,0.02,2e-05,0.001,300,a bulldozer made out of toy bricks,50,2.5,0.5,256,40.0,rlsd,0.005,True,250,False,False,???,False,100,0.005,1500,42,0,False,0.2,False,False,True,True,100,False,100,False,500,True
exp5_rbf_beta,BULL__S42__rbf_beta_1.5,1000,1,a bulldozer made out of toy bricks,42,1.5,0.3785090446472168,0.0066349683329463,0.2632478475570678,0.013223273679614,0.8056824207305908,0.0100749405100941,800,800,False,True,1,-1,1.0,1e-3,50,0.01,3000,0,1,10,0,False,512,512,4.5,facebook/dinov2-base,last,0.01,False,True,True,49.1,0.0001,False,50,0,False,,0.5,1000,50,rbf,1000,1,0,,10,30,,obj,True,-30,average_views,False,,8,1000,8,0.01,700,exp/exp5_rbf_beta/BULL__S42__rbf_beta_0.5,0.01,0.02,2e-05,0.001,300,a bulldozer made out of toy bricks,50,2.5,0.5,256,40.0,rlsd,0.005,True,250,False,False,???,False,100,0.005,1500,42,0,False,0.2,False,False,True,True,100,False,100,False,500,True
exp5_rbf_beta,BULL__S42__rbf_beta_2.0,1000,1,a bulldozer made out of toy bricks,42,2.0,0.396280825138092,0.0128494640812277,0.2582434713840484,0.0111128501594066,0.8061554431915283,0.0165989343076944,800,800,False,True,1,-1,1.0,1e-3,50,0.01,3000,0,1,10,0,False,512,512,4.5,facebook/dinov2-base,last,0.01,False,True,True,49.1,0.0001,False,50,0,False,,0.5,1000,50,rbf,1000,1,0,,10,30,,obj,True,-30,average_views,False,,8,1000,8,0.01,700,exp/exp5_rbf_beta/BULL__S42__rbf_beta_0.5,0.01,0.02,2e-05,0.001,300,a bulldozer made out of toy bricks,50,2.5,0.5,256,40.0,rlsd,0.005,True,250,False,False,???,False,100,0.005,1500,42,0,False,0.2,False,False,True,True,100,False,100,False,500,True
exp5_rbf_beta,BULL__S456__rbf_beta_0.5,1000,1,a bulldozer made out of toy bricks,456,0.5,0.3710067272186279,0.0196207147091627,0.2613766193389892,0.0199221018701791,0.8148059248924255,0.0195876024663448,800,800,False,True,1,-1,1.0,1e-3,50,0.01,3000,0,1,10,0,False,512,512,4.5,facebook/dinov2-base,last,0.01,False,True,True,49.1,0.0001,False,50,0,False,,0.5,1000,50,rbf,1000,1,0,,10,30,,obj,True,-30,average_views,False,,8,1000,8,0.01,700,exp/exp5_rbf_beta/BULL__S42__rbf_beta_0.5,0.01,0.02,2e-05,0.001,300,a bulldozer made out of toy bricks,50,2.5,0.5,256,40.0,rlsd,0.005,True,250,False,False,???,False,100,0.005,1500,42,0,False,0.2,False,False,True,True,100,False,100,False,500,True
exp5_rbf_beta,BULL__S456__rbf_beta_1.0,1000,1,a bulldozer made out of toy bricks,456,1.0,0.3803747594356537,0.0157822258770465,0.2545332312583923,0.0181609913706779,0.802952766418457,0.0102927181869745,800,800,False,True,1,-1,1.0,1e-3,50,0.01,3000,0,1,10,0,False,512,512,4.5,facebook/dinov2-base,last,0.01,False,True,True,49.1,0.0001,False,50,0,False,,0.5,1000,50,rbf,1000,1,0,,10,30,,obj,True,-30,average_views,False,,8,1000,8,0.01,700,exp/exp5_rbf_beta/BULL__S42__rbf_beta_0.5,0.01,0.02,2e-05,0.001,300,a bulldozer made out of toy bricks,50,2.5,0.5,256,40.0,rlsd,0.005,True,250,False,False,???,False,100,0.005,1500,42,0,False,0.2,False,False,True,True,100,False,100,False,500,True
