prompt,metric,mean,std
bulldozer,step_wall_ms,678.8086569948712,47.26116925526143
cactus,step_wall_ms,655.7903230872632,26.528468555560668
hamburger,step_wall_ms,633.1356637361966,54.48653023553652
icecream,step_wall_ms,659.177673293628,25.884593382643533
sundae,step_wall_ms,634.522429479535,54.97136964199273
tulip,step_wall_ms,614.4367280660548,22.06455145564848
bulldozer,step_gpu_ms,679.0315543448571,47.26149461237477
cactus,step_gpu_ms,656.0206721088673,26.534810296414214
hamburger,step_gpu_ms,633.390773055577,54.45050016409828
icecream,step_gpu_ms,659.429796275526,25.91050759153591
sundae,step_gpu_ms,634.7876867162119,54.970869996906565
tulip,step_gpu_ms,614.6797372043724,22.06115847198367
bulldozer,px_per_s,926877.4089044471,4483.120303906991
cactus,px_per_s,928223.3868685327,10675.230854072095
hamburger,px_per_s,996284.4183789149,15270.791464155052
icecream,px_per_s,980746.1579105948,9261.679854583981
sundae,px_per_s,1003911.1044537033,16950.77001290179
tulip,px_per_s,1024944.1956213308,3778.924038743503
bulldozer,memory_allocated_mb,23188.633907506963,21.276278425597823
cactus,memory_allocated_mb,23144.37016432356,11.650221908517933
hamburger,memory_allocated_mb,23063.933741201272,12.449320882395503
icecream,memory_allocated_mb,23052.478079314278,29.586316744248386
sundae,memory_allocated_mb,23024.795134591583,21.645260968527275
tulip,memory_allocated_mb,22923.479561078664,17.421303729458874
bulldozer,max_memory_allocated_mb,37327.831223893874,45.66272507402961
cactus,max_memory_allocated_mb,37148.34978462446,28.82500994434779
hamburger,max_memory_allocated_mb,37013.28487222502,38.08514890157786
icecream,max_memory_allocated_mb,36964.76477413367,65.94278964074182
sundae,max_memory_allocated_mb,36895.55552023708,50.57241874794101
tulip,max_memory_allocated_mb,36686.960684899066,42.95255152714064
