prompt,seed,step,inter_particle_diversity_mean,inter_particle_diversity_std,cross_view_consistency_mean,cross_view_consistency_std,fidelity_mean,fidelity_std,step_wall_ms,step_gpu_ms,render_ms,sd_guidance_ms,backprop_ms,densify_ms,pixels,px_per_s,memory_allocated_mb,max_memory_allocated_mb
bulldozer,123,1000.0,0.1844593584537506,0.0112477652728557,0.8229364156723022,0.0093638319522142,0.4038337469100952,0.0091211274266242,1005.086803343147,1005.2771606445312,81.90334215760231,116.02421617135406,132.51176290214062,674.64748211205,2097152.0,2086538.1905566724,26172.71435546875,43623.3076171875
bulldozer,42,1000.0,0.1956215500831604,0.012190144509077,0.8099290132522583,0.0090318908914923,0.3984302580356598,0.0094588445499539,1008.227938786149,1008.4392700195312,82.69674284383655,117.02895676717162,131.46409299224615,677.0381461828947,2097152.0,2080037.578134222,26047.22900390625,43268.7744140625
bulldozer,456,1000.0,0.1905082613229751,0.0141274705529212,0.8087973594665527,0.0132031366229057,0.3976969718933105,0.006695729214698,994.482790119946,994.6388549804688,80.23151801899076,116.00437900051476,131.55835680663586,666.6885362938046,2097152.0,2108786.6183657735,25931.833984375,43205.009765625
bulldozer,789,1000.0,0.1857809871435165,0.009803139604628,0.8165544271469116,0.008506704121828,0.4025217890739441,0.0095151122659444,1021.7491947114468,1021.9468994140624,82.54071092233062,117.53021366894244,130.818841047585,690.8594290725887,2097152.0,2052511.5271485571,25998.71728515625,43168.52734375
cactus,123,1000.0,0.1176745519042015,0.0109996767714619,0.8907500505447388,0.0062283892184495,0.3762690722942352,0.0027837911620736,919.1421302966774,919.404541015625,74.55007219687104,114.4696269184351,132.23611982539296,597.8863113559783,2097152.0,2281640.5981989847,25464.1884765625,41720.8994140625
cactus,42,1000.0,0.108232595026493,0.0053608319722115,0.898713231086731,0.00701693771407,0.3800890445709228,0.0053931288421154,951.129571069032,951.3062133789062,81.3521221280098,115.62982108443975,132.2150337509811,621.9325941056013,2097152.0,2204906.7380408375,25576.3486328125,42014.06005859375
cactus,456,1000.0,0.1005411520600318,0.0067736911587417,0.9001470804214478,0.0081673227250576,0.3788986206054687,0.0039354325272142,917.2488800249994,917.4794311523438,75.85891569033265,114.85895095393062,131.66562328115106,594.865390099585,2097152.0,2286350.025243795,25473.39453125,41797.73193359375
cactus,789,1000.0,0.1107656732201576,0.0078150192275643,0.8886759281158447,0.0088573517277836,0.3726117610931396,0.0042023747228085,897.2805999219418,897.5001831054688,75.33841812983155,117.42656398564576,132.2925677523017,572.2230500541627,2097152.0,2337230.9622903247,25445.873046875,41652.84326171875
hamburger,123,1000.0,0.1001033633947372,0.0049602491781115,0.90428364276886,0.005074743181467,0.4095672369003296,0.0026343371719121,914.420603774488,914.6900634765624,73.26568197458982,114.30571600794792,132.32570700347424,594.523498788476,2097152.0,2293421.6391707575,25199.30224609375,41532.7900390625
hamburger,42,1000.0,0.0915386453270912,0.0111622903496027,0.9024262428283693,0.0081310337409377,0.4159479737281799,0.0024906378239393,889.7294290363789,890.1017456054688,68.43472784385085,115.6051568686962,131.43693516030908,574.2526091635227,2097152.0,2357067.139244028,25147.80859375,41361.84130859375
hamburger,456,1000.0,0.0940768718719482,0.004330476745963,0.9026302099227904,0.0090080667287111,0.4149795770645141,0.0035291644744575,900.872556027025,901.1506958007812,71.44799688830972,114.34360314160584,130.2677011117339,584.8132548853755,2097152.0,2327911.962651783,25209.244140625,41578.49267578125
hamburger,789,1000.0,0.0912016257643699,0.0073037128895521,0.9054775238037108,0.0099534774199128,0.415032684803009,0.002045648638159,852.4535996839404,852.60595703125,65.84563571959734,113.58479131013156,131.67278794571757,541.350384708494,2097152.0,2460136.247623976,25008.94091796875,41013.83544921875
icecream,123,1000.0,0.1481977105140686,0.0078372070565819,0.8162252902984619,0.0109772570431232,0.4185869097709656,0.0034715600777417,847.9306390509009,848.152587890625,72.61874666437507,114.65052235871552,130.97747089341283,529.6838991343975,2097152.0,2473258.9004536592,25367.54248046875,41453.23095703125
icecream,42,1000.0,0.1331411600112915,0.0125651257112622,0.8149821758270264,0.0124979941174387,0.4198582172393799,0.0020621775183826,902.7949986048044,902.94580078125,83.68222881108522,116.95143906399608,130.5046840570867,571.6566466726363,2097152.0,2322954.827220993,25545.71533203125,41822.576171875
icecream,456,1000.0,0.1687749922275543,0.018772155046463,0.805474042892456,0.0117007717490196,0.4199777543544769,0.0009615343878977,873.3327449299395,873.5529174804688,76.64904789999127,114.96596923097968,132.87716265767813,548.8405651412904,2097152.0,2401320.701845707,25311.947265625,41364.103515625
icecream,789,1000.0,0.1231176108121872,0.0145334918051958,0.8091349601745605,0.0154565563425421,0.4190725684165954,0.0016365312039852,848.1559688225389,848.39013671875,73.27841408550739,115.32406602054834,131.70042587444186,527.8530628420413,2097152.0,2472601.8292500996,25316.85400390625,41333.4267578125
sundae,123,1000.0,0.1332896053791046,0.0097578298300504,0.8204838633537292,0.0092262839898467,0.3791672587394714,0.0019655504729598,871.3684757240117,871.5980834960938,74.4054727256298,114.55722386017442,133.2218241877854,549.183954950422,2097152.0,2406733.842715042,25194.4892578125,41192.97509765625
sundae,42,1000.0,0.1631509810686111,0.0114186834543943,0.8358942866325378,0.0106610115617513,0.3827199935913086,0.0023600405547767,892.7230997942388,892.78466796875,80.1405687816441,117.42427619174124,129.60582179948688,565.5524330213666,2097152.0,2349162.9156715744,25193.5361328125,41147.00732421875
sundae,456,1000.0,0.1494868397712707,0.0139836464077234,0.816203236579895,0.0121611934155225,0.3778864741325378,0.002430650871247,849.9737409874797,850.2261962890625,71.47205993533134,115.19805435091256,133.5609406232834,529.7426860779524,2097152.0,2467313.8696774063,25079.10400390625,40914.11962890625
sundae,789,1000.0,0.1570424437522888,0.0238292329013347,0.8187217116355896,0.0160514395684003,0.3780162930488586,0.0029659878928214,829.3496486730874,829.5741577148438,70.47386979684234,115.51178898662327,129.36034984886646,514.0036400407553,2097152.0,2528670.5111111156,25011.02587890625,40728.43701171875
tulip,123,1000.0,0.1038211211562156,0.0085460850968956,0.8869423270225525,0.0058551984839141,0.3935050368309021,0.0028340853750705,864.0029989182949,864.2171020507812,65.23247389122844,113.35758119821548,130.27031999081373,555.1426238380373,2097152.0,2427250.834343827,24631.80078125,40221.99072265625
tulip,42,1000.0,0.0984327420592308,0.0052533745765686,0.8923721313476562,0.0058953231200575,0.3949330449104309,0.0026179132983088,873.8992558792233,874.102783203125,75.96319308504462,115.1196388527751,131.4942128956318,551.3222110457718,2097152.0,2399764.0298824506,24654.08544921875,40328.38330078125
tulip,456,1000.0,0.1048519387841224,0.0059515764005482,0.8954495191574097,0.0036462221760302,0.3914315104484558,0.0018714884063228,787.3067767359316,787.55224609375,67.44582206010818,113.7593239545822,131.53911102563143,474.5625196956098,2097152.0,2663703.732736191,24538.70068359375,39985.5546875
tulip,789,1000.0,0.1186576560139656,0.0064927195198833,0.8870974183082581,0.0089055160060524,0.3927081525325775,0.0032840780913829,788.7927726842463,788.9879150390625,66.93975767120719,114.60598930716516,129.66129183769226,477.5857338681817,2097152.0,2658685.617596917,24531.84619140625,40054.322265625
