prompt,metric,mean,std
bulldozer,step_wall_ms,654.9533139735616,2.5049674829338575
cactus,step_wall_ms,644.4497224413743,2.4389497085938148
hamburger,step_wall_ms,617.782607697075,0.8872226496007314
icecream,step_wall_ms,639.3067037783526,1.93909328354197
sundae,step_wall_ms,630.152670119654,3.5312546962051403
tulip,step_wall_ms,618.5327616138707,1.8622556961435048
bulldozer,step_gpu_ms,655.1541328807868,2.505703540183077
cactus,step_gpu_ms,644.6494791767385,2.447320489785522
hamburger,step_gpu_ms,617.9760236834535,0.8916782777419183
icecream,step_gpu_ms,639.5135811531898,1.944335829741945
sundae,step_gpu_ms,630.3469835035871,3.524688795039917
tulip,step_gpu_ms,618.7311514675027,1.8564432398174666
bulldozer,px_per_s,820683.3139275509,5735.4310854278965
cactus,px_per_s,845204.0250260076,4793.116386250261
hamburger,px_per_s,900439.3057010982,1451.9948581635892
icecream,px_per_s,859142.5572750295,1936.0635866302025
sundae,px_per_s,875748.6398194297,1244.8455331471312
tulip,px_per_s,901878.9819967484,3397.4167910013493
bulldozer,memory_allocated_mb,23381.67336401609,22.18648837550038
cactus,memory_allocated_mb,23313.398129302677,17.71232442736262
hamburger,memory_allocated_mb,23161.25157482789,5.8003781355511785
icecream,memory_allocated_mb,23245.079940342668,4.55304068750835
sundae,memory_allocated_mb,23214.226079053216,6.5711958480022865
tulip,memory_allocated_mb,23097.960939917233,10.90162086273312
bulldozer,max_memory_allocated_mb,38751.66216497138,50.84481378287926
cactus,max_memory_allocated_mb,38548.485369691756,40.96932535692753
hamburger,max_memory_allocated_mb,38211.55907477955,15.12538123407664
icecream,max_memory_allocated_mb,38392.9876322227,10.614054969913635
sundae,max_memory_allocated_mb,38325.74447782913,14.344049514513513
tulip,max_memory_allocated_mb,38062.65633822904,24.481539758150554
