prompt,seed,step,inter_particle_diversity_mean,inter_particle_diversity_std,cross_view_consistency_mean,cross_view_consistency_std,fidelity_mean,fidelity_std,step_wall_ms,step_gpu_ms,render_ms,sd_guidance_ms,backprop_ms,densify_ms,pixels,px_per_s,memory_allocated_mb,max_memory_allocated_mb
bulldozer,123,1000.0,0.2609897255897522,0.0086040776222944,0.8083807229995728,0.0217067636549472,0.3764858543872833,0.0235541108995676,1269.678682088852,1269.87060546875,113.3422169368714,136.27281715162098,232.5136058498174,787.5500421505421,2097152.0,1651718.682517221,27689.7646484375,47368.27783203125
bulldozer,42,1000.0,0.2661126255989074,0.0226669684052467,0.7908828854560852,0.0206650719046592,0.3858354091644287,0.0129895331338047,1187.5580879859626,1187.758056640625,108.72634686529636,138.30977817997336,232.66591597348452,707.8560469672084,2097152.0,1765936.3539485144,27413.22216796875,46733.953125
bulldozer,456,1000.0,0.2460777014493942,0.0188789684325456,0.7977229952812195,0.0092487456277012,0.3742215931415558,0.0209291744977235,1197.6443158928305,1197.813720703125,103.36931608617306,134.6322528552264,232.33969905413687,727.3030478972942,2097152.0,1751064.1282813558,27503.68359375,46921.92529296875
bulldozer,789,1000.0,0.2579642832279205,0.0103395543992519,0.8112597465515137,0.0103079779073596,0.3795325458049774,0.0172987282276153,1205.1630970090628,1205.360595703125,105.41856591589747,137.22575618885458,232.1162479929626,730.4025269113481,2097152.0,1740139.5754687877,27430.509765625,46800.2568359375
cactus,123,1000.0,0.226806640625,0.0129755465313792,0.8779890537261963,0.0191008131951093,0.3764752745628357,0.0054718218743801,1115.2477469295263,1115.4381103515625,91.07344690710306,134.57533810287714,233.7613669224083,655.8375949971378,2097152.0,1880435.9890202235,26857.62158203125,45403.94287109375
cactus,42,1000.0,0.2243065536022186,0.0160095635801553,0.8836493492126465,0.0174487773329019,0.375993937253952,0.0097661176696419,1088.0403970368209,1088.20068359375,99.3260859977454,135.03036205656826,231.29027197137475,622.3936770111322,2097152.0,1927457.8459691417,26816.8251953125,45299.5771484375
cactus,456,1000.0,0.231649100780487,0.0075952154584228,0.8638333082199097,0.0153352478519082,0.3747848868370056,0.0065780985169112,1058.675658190623,1058.8046875,91.20385907590388,133.14251299016178,233.6079131346196,600.7213729899377,2097152.0,1980920.203251137,26569.86328125,44855.36328125
cactus,789,1000.0,0.2302775084972381,0.0082392785698175,0.8838288187980652,0.0167245306074619,0.3785979747772217,0.0087931994348764,1059.019510867074,1059.208251953125,92.098857043311,131.7215769086033,232.23761399276555,602.9614629223943,2097152.0,1980277.0189596913,26654.4697265625,45014.5615234375
hamburger,123,1000.0,0.2533270120620727,0.0118082864210009,0.8576557040214539,0.019810851663351,0.4053667187690735,0.0097260251641273,977.0358491223304,977.2196044921876,86.88237215392292,130.91367506422102,231.16363189183176,528.0761700123549,2097152.0,2146443.246564461,26041.8759765625,43821.44677734375
hamburger,42,1000.0,0.2339877188205719,0.0113831907510757,0.8608381152153015,0.0232170261442661,0.4166728258132934,0.0036850438918918,964.0767890959978,964.2567749023438,79.1597890201956,131.19433098472655,231.94793495349583,521.7747341375798,2097152.0,2175295.602714875,25951.869140625,43635.01513671875
hamburger,456,1000.0,0.267804741859436,0.0140237957239151,0.8577439785003662,0.0140722105279564,0.4088121056556701,0.0046203439123928,993.8274791929872,993.9302368164062,85.40443517267704,130.9398920275271,232.30151482857764,545.1816371642053,2097152.0,2110177.112131112,25982.28369140625,43731.080078125
hamburger,789,1000.0,0.2707368433475494,0.0191361512988805,0.8606839776039124,0.0175719074904918,0.4098073244094848,0.0061021358706057,953.7028660997748,953.8631591796876,82.69990212284029,132.25977891124785,232.34862997196615,506.39455509372056,2097152.0,2198957.426411466,25955.0400390625,43620.01904296875
icecream,123,1000.0,0.2754522562026977,0.0057561760768294,0.8093537092208862,0.0280665606260299,0.4198472201824188,0.0019400985911488,1040.5296850949526,1040.7977294921875,89.84575304202735,133.6336040403694,232.4210728984326,584.6292551141232,2097152.0,2015465.80558019,26533.7666015625,44720.5771484375
icecream,42,1000.0,0.3033842146396637,0.0179040804505348,0.8092491626739502,0.0243675354868173,0.4192271828651428,0.0067299311049282,1053.0163662042469,1053.1932373046875,98.31322310492396,135.6890839524567,232.4664811603725,586.5475779864937,2097152.0,1991566.387101365,26490.4560546875,44568.7255859375
icecream,456,1000.0,0.2731881737709045,0.0149391870945692,0.7954496741294861,0.0226678438484668,0.4191458225250244,0.0073740864172577,1044.6820468641818,1044.842529296875,94.27147987298667,133.67655221372843,232.97769483178857,583.7563199456781,2097152.0,2007454.8100974965,26467.15380859375,44560.48779296875
icecream,789,1000.0,0.3005256652832031,0.0107509205117821,0.8047172427177429,0.0347751900553703,0.4135967195034027,0.0060257804580032,1072.9610109701753,1073.1827392578125,89.04805989004672,133.91492911614478,232.96367190778255,617.0343500562012,2097152.0,1954546.3241984416,26467.4609375,44571.72998046875
