# RAW EXPERIMENTAL DATA - METHODOLOGY
# This file contains raw experimental data consolidated from individual runs
# 
# Data Details:
# - Experiment: exp_num_particles
# - Total runs: 12
# - Data source: Individual experiment runs with metrics calculated per run
# - Metrics included: Fidelity, diversity, cross-consistency
# - Statistics: Mean and standard deviation calculated per run
# 
# Each row represents one experimental run with its calculated metrics
# Raw data before any averaging or statistical aggregation
#
# Generated by: consolidate_experiments.py
# Date: 2025-09-18 16:50:41
#
experiment,run_id,last_step,n_samples,prompt,seed,num_particles,fidelity_mean,fidelity_std,diversity_mean,diversity_std,cross_consistency_mean,cross_consistency_std,cfg_H,cfg_W,cfg_adaptive_lambda,cfg_anneal_timestep,cfg_batch_size,cfg_best_step,cfg_cosine_beta,cfg_cosine_eps_shift,cfg_densification_interval,cfg_densify_grad_threshold,cfg_density_end_iter,cfg_density_start_iter,cfg_density_thresh,cfg_efficiency_interval,cfg_elevation,cfg_enable_lpips,cfg_eval_H,cfg_eval_W,cfg_eval_radius,cfg_feature_extractor_model_name,cfg_feature_layer,cfg_feature_lr,cfg_force_cuda_rast,cfg_force_same_noise,cfg_force_same_t,cfg_fovy,cfg_geom_lr,cfg_gui,cfg_guidance_scale,cfg_horizontal,cfg_imagedream,cfg_input,cfg_invert_bg_prob,cfg_iters,cfg_iters_refine,cfg_kernel_type,cfg_lambda_repulsion,cfg_lambda_sd,cfg_lambda_zero123,cfg_load,cfg_losses_interval,cfg_max_ver,cfg_mesh,cfg_mesh_format,cfg_metrics,cfg_min_ver,cfg_multi_view_type,cfg_mvdream,cfg_negative_prompt,cfg_num_particles,cfg_num_pts,cfg_num_views,cfg_opacity_lr,cfg_opacity_reset_interval,cfg_outdir,cfg_percent_dense,cfg_position_lr_delay_mult,cfg_position_lr_final,cfg_position_lr_init,cfg_position_lr_max_steps,cfg_prompt,cfg_quantitative_metrics_interval,cfg_radius,cfg_rbf_beta,cfg_ref_size,cfg_rep_ratio_target,cfg_repulsion_type,cfg_rotation_lr,cfg_save_features,cfg_save_features_interval,cfg_save_iid,cfg_save_model,cfg_save_path,cfg_save_rendered_images,cfg_save_rendered_images_interval,cfg_scaling_lr,cfg_schedule_iters,cfg_seed,cfg_sh_degree,cfg_stable_zero123,cfg_texture_lr,cfg_train_geo,cfg_video_snapshot,cfg_visualize,cfg_visualize_fixed_viewpoint,cfg_visualize_fixed_viewpoint_interval,cfg_visualize_graph,cfg_visualize_graph_interval,cfg_visualize_multi_viewpoints,cfg_visualize_multi_viewpoints_interval,cfg_warmup_rgb_loss
exp_num_particles,BULL__num_particles_2,1000,1,a bulldozer made out of toy bricks,42,2,0.3931836485862732,0.0003263056278228,0.2528856098651886,0.0184449832886457,0.8107523918151855,0.0067732632160186,800,800,False,True,1,-1,1.0,1e-3,50,0.01,3000,0,1,10,0,False,512,512,4.0,facebook/dinov2-base,last,0.01,False,True,True,49.1,0.0001,False,50,0,False,,0.5,1000,50,rbf,1000,1,0,,10,30,,obj,True,-30,average_views,False,,4,1000,8,0.01,700,exp/exp_num_particles/ICE__num_particles_4,0.01,0.02,2e-05,0.001,300,a photo of an ice cream,50,2.5,1.0,256,40.0,rlsd,0.005,True,250,False,False,???,False,100,0.005,1500,42,0,False,0.2,False,False,True,True,100,False,100,False,500,True
exp_num_particles,BULL__num_particles_4,1000,1,a bulldozer made out of toy bricks,42,4,0.3958741724491119,0.010260215960443,0.2739346623420715,0.0166277457028627,0.7969741821289062,0.0086650503799319,800,800,False,True,1,-1,1.0,1e-3,50,0.01,3000,0,1,10,0,False,512,512,4.0,facebook/dinov2-base,last,0.01,False,True,True,49.1,0.0001,False,50,0,False,,0.5,1000,50,rbf,1000,1,0,,10,30,,obj,True,-30,average_views,False,,4,1000,8,0.01,700,exp/exp_num_particles/ICE__num_particles_4,0.01,0.02,2e-05,0.001,300,a photo of an ice cream,50,2.5,1.0,256,40.0,rlsd,0.005,True,250,False,False,???,False,100,0.005,1500,42,0,False,0.2,False,False,True,True,100,False,100,False,500,True
exp_num_particles,BULL__num_particles_8,1000,1,a bulldozer made out of toy bricks,42,8,0.3715199828147888,0.0164974350482225,0.2692305743694305,0.0130998501554131,0.8137381076812744,0.0246407482773065,800,800,False,True,1,-1,1.0,1e-3,50,0.01,3000,0,1,10,0,False,512,512,4.0,facebook/dinov2-base,last,0.01,False,True,True,49.1,0.0001,False,50,0,False,,0.5,1000,50,rbf,1000,1,0,,10,30,,obj,True,-30,average_views,False,,4,1000,8,0.01,700,exp/exp_num_particles/ICE__num_particles_4,0.01,0.02,2e-05,0.001,300,a photo of an ice cream,50,2.5,1.0,256,40.0,rlsd,0.005,True,250,False,False,???,False,100,0.005,1500,42,0,False,0.2,False,False,True,True,100,False,100,False,500,True
exp_num_particles,CACT__num_particles_2,1000,1,a small saguaro cactus planted in a clay pot,42,2,0.376112699508667,0.0012703388929367,0.1977722197771072,0.0156816616654396,0.8767060041427612,0.0100739896297454,800,800,False,True,1,-1,1.0,1e-3,50,0.01,3000,0,1,10,0,False,512,512,4.0,facebook/dinov2-base,last,0.01,False,True,True,49.1,0.0001,False,50,0,False,,0.5,1000,50,rbf,1000,1,0,,10,30,,obj,True,-30,average_views,False,,4,1000,8,0.01,700,exp/exp_num_particles/ICE__num_particles_4,0.01,0.02,2e-05,0.001,300,a photo of an ice cream,50,2.5,1.0,256,40.0,rlsd,0.005,True,250,False,False,???,False,100,0.005,1500,42,0,False,0.2,False,False,True,True,100,False,100,False,500,True
exp_num_particles,CACT__num_particles_4,1000,1,a small saguaro cactus planted in a clay pot,42,4,0.3791806101799011,0.005560943391174,0.2577108740806579,0.0259043332189321,0.875962495803833,0.0211760606616735,800,800,False,True,1,-1,1.0,1e-3,50,0.01,3000,0,1,10,0,False,512,512,4.0,facebook/dinov2-base,last,0.01,False,True,True,49.1,0.0001,False,50,0,False,,0.5,1000,50,rbf,1000,1,0,,10,30,,obj,True,-30,average_views,False,,4,1000,8,0.01,700,exp/exp_num_particles/ICE__num_particles_4,0.01,0.02,2e-05,0.001,300,a photo of an ice cream,50,2.5,1.0,256,40.0,rlsd,0.005,True,250,False,False,???,False,100,0.005,1500,42,0,False,0.2,False,False,True,True,100,False,100,False,500,True
exp_num_particles,CACT__num_particles_8,1000,1,a small saguaro cactus planted in a clay pot,42,8,0.378053605556488,0.0096932854503393,0.2413706183433532,0.0162738356739282,0.8655070662498474,0.0117407096549868,800,800,False,True,1,-1,1.0,1e-3,50,0.01,3000,0,1,10,0,False,512,512,4.0,facebook/dinov2-base,last,0.01,False,True,True,49.1,0.0001,False,50,0,False,,0.5,1000,50,rbf,1000,1,0,,10,30,,obj,True,-30,average_views,False,,4,1000,8,0.01,700,exp/exp_num_particles/ICE__num_particles_4,0.01,0.02,2e-05,0.001,300,a photo of an ice cream,50,2.5,1.0,256,40.0,rlsd,0.005,True,250,False,False,???,False,100,0.005,1500,42,0,False,0.2,False,False,True,True,100,False,100,False,500,True
exp_num_particles,ICE__num_particles_2,1000,1,a photo of an ice cream,42,2,0.4186957776546478,0.0060324966907501,0.2877906262874603,0.049389861524105,0.79225754737854,0.011327713727951,800,800,False,True,1,-1,1.0,1e-3,50,0.01,3000,0,1,10,0,False,512,512,4.0,facebook/dinov2-base,last,0.01,False,True,True,49.1,0.0001,False,50,0,False,,0.5,1000,50,rbf,1000,1,0,,10,30,,obj,True,-30,average_views,False,,4,1000,8,0.01,700,exp/exp_num_particles/ICE__num_particles_4,0.01,0.02,2e-05,0.001,300,a photo of an ice cream,50,2.5,1.0,256,40.0,rlsd,0.005,True,250,False,False,???,False,100,0.005,1500,42,0,False,0.2,False,False,True,True,100,False,100,False,500,True
exp_num_particles,ICE__num_particles_4,1000,1,a photo of an ice cream,42,4,0.4211826026439667,0.0036692314315587,0.2998872995376587,0.0241477154195308,0.8294037580490112,0.0082714585587382,800,800,False,True,1,-1,1.0,1e-3,50,0.01,3000,0,1,10,0,False,512,512,4.0,facebook/dinov2-base,last,0.01,False,True,True,49.1,0.0001,False,50,0,False,,0.5,1000,50,rbf,1000,1,0,,10,30,,obj,True,-30,average_views,False,,4,1000,8,0.01,700,exp/exp_num_particles/ICE__num_particles_4,0.01,0.02,2e-05,0.001,300,a photo of an ice cream,50,2.5,1.0,256,40.0,rlsd,0.005,True,250,False,False,???,False,100,0.005,1500,42,0,False,0.2,False,False,True,True,100,False,100,False,500,True
exp_num_particles,ICE__num_particles_8,1000,1,a photo of an ice cream,42,8,0.4150764942169189,0.0077953697182238,0.3048789501190185,0.0156660228967666,0.8098709583282471,0.0288731195032596,800,800,False,True,1,-1,1.0,1e-3,50,0.01,3000,0,1,10,0,False,512,512,4.0,facebook/dinov2-base,last,0.01,False,True,True,49.1,0.0001,False,50,0,False,,0.5,1000,50,rbf,1000,1,0,,10,30,,obj,True,-30,average_views,False,,4,1000,8,0.01,700,exp/exp_num_particles/ICE__num_particles_4,0.01,0.02,2e-05,0.001,300,a photo of an ice cream,50,2.5,1.0,256,40.0,rlsd,0.005,True,250,False,False,???,False,100,0.005,1500,42,0,False,0.2,False,False,True,True,100,False,100,False,500,True
exp_num_particles,TUL__num_particles_2,1000,1,a photo of a tulip,42,2,0.3893221020698547,0.0105676054954528,0.1941594034433365,0.0205166768282651,0.8713681697845459,0.0015954077243804,800,800,False,True,1,-1,1.0,1e-3,50,0.01,3000,0,1,10,0,False,512,512,4.0,facebook/dinov2-base,last,0.01,False,True,True,49.1,0.0001,False,50,0,False,,0.5,1000,50,rbf,1000,1,0,,10,30,,obj,True,-30,average_views,False,,4,1000,8,0.01,700,exp/exp_num_particles/ICE__num_particles_4,0.01,0.02,2e-05,0.001,300,a photo of an ice cream,50,2.5,1.0,256,40.0,rlsd,0.005,True,250,False,False,???,False,100,0.005,1500,42,0,False,0.2,False,False,True,True,100,False,100,False,500,True
